votesInFavor,distance,hasFavoriteDish,endTime,groupID,numStudentQueue,canteenTime,pastExperience,canteenExperience,canteen
0.67,0.0,1,0.67,1,0,0.28,0.45,0.4,2
1.00,0.0,1,0.83,1,0,0.27,0.63,0.9,0
0.67,0.0,0,0.68,1,1,1.30,0.83,0.9,2
1.00,0.0,1,0.82,1,1,1.30,0.63,0.9,0
0.67,0.0,0,0.67,1,2,2.31,0.48,0.9,2
1.00,0.9,1,2.55,1,0,0.45,0.78,0.7,3
1.00,0.0,0,0.82,1,2,2.33,0.60,0.5,0
1.00,0.9,1,2.55,1,1,1.54,0.58,0.4,3
1.00,0.0,1,0.83,1,3,3.39,0.68,0.5,0
1.00,0.9,1,4.01,1,0,0.09,0.80,0.9,4
1.00,0.0,1,0.81,1,4,4.36,0.55,0.5,0
1.00,0.9,0,4.02,1,1,1.11,0.52,0.7,4
1.00,0.0,1,5.48,2,0,0.54,0.48,0.6,2
0.50,0.0,0,5.55,1,0,0.58,0.52,0.5,1
1.00,0.5,1,4.21,1,1,1.87,0.48,0.9,0
1.00,0.0,1,5.48,2,1,1.55,0.48,0.2,2
0.50,0.0,1,5.55,1,1,1.59,0.60,0.5,1
1.00,0.5,1,4.20,1,2,2.88,0.63,0.7,0
1.00,0.6,1,8.08,2,0,0.08,0.68,0.5,5
1.00,0.0,0,5.47,2,2,2.74,0.55,0.4,0
1.00,0.6,0,8.08,2,1,1.09,0.40,0.7,5
1.00,0.0,1,5.47,2,3,3.74,0.72,0.7,0
1.00,0.0,1,10.54,3,0,0.54,0.73,0.7,2
0.67,0.6,1,10.63,3,0,0.53,0.60,0.7,5
1.00,0.0,1,10.53,3,1,1.55,0.60,0.5,2
0.67,0.6,0,10.63,3,1,1.54,0.78,0.5,5
0.67,0.6,1,10.64,3,2,2.55,0.48,0.8,5
0.60,0.0,1,0.50,1,0,0.57,0.63,0.4,0
0.60,0.0,1,0.48,1,1,1.59,0.63,0.6,0
0.67,0.0,1,2.01,1,0,0.94,0.83,0.9,2
1.00,0.0,1,2.76,1,0,0.20,0.48,0.5,4
0.60,0.0,1,0.50,1,2,2.60,0.68,0.8,0
0.67,0.0,1,2.00,1,1,1.95,0.45,1.0,2
1.00,0.0,1,3.08,1,0,0.89,0.65,0.4,3
1.00,0.0,0,2.76,1,1,1.23,0.60,0.2,4
0.60,0.0,1,0.49,1,3,3.68,0.55,0.6,0
0.67,0.0,1,2.01,1,2,2.99,0.48,0.6,2
1.00,0.0,1,3.08,1,1,1.90,0.48,0.7,3
0.60,0.0,0,0.50,1,4,4.68,0.60,0.8,0
0.50,0.0,1,5.46,1,0,0.66,0.60,0.4,1
1.00,0.5,1,3.54,1,2,2.51,0.48,0.4,0
1.00,0.0,1,6.14,2,0,0.86,0.48,0.9,2
0.50,0.0,1,5.46,1,1,1.66,0.52,0.9,1
1.00,0.5,1,3.53,1,3,3.52,0.63,0.5,0
1.00,0.0,0,6.14,2,1,1.87,0.48,0.5,2
1.00,0.0,1,5.59,2,2,2.62,0.55,0.6,0
1.00,0.0,1,5.60,2,3,3.62,0.72,0.4,0
1.00,0.0,0,10.78,3,0,0.25,0.73,0.7,2
1.00,0.9,0,10.63,2,0,0.51,0.73,0.9,3
1.00,0.0,1,10.78,3,1,1.26,0.60,0.1,2
1.00,0.9,1,10.64,2,1,1.52,0.45,0.5,3
1.00,0.0,0,12.37,3,0,0.79,0.32,0.6,1
1.00,0.0,0,12.35,3,1,1.80,0.55,0.4,1
1.00,0.0,1,12.39,3,2,2.81,0.55,0.6,1
0.60,0.5,0,0.47,1,0,0.56,0.50,0.6,1
0.67,0.0,1,0.66,1,0,0.26,0.48,0.4,2
0.60,0.5,1,0.43,1,1,1.58,0.63,0.5,1
1.00,0.0,1,1.61,1,0,0.26,0.48,0.1,4
0.67,0.0,1,0.66,1,1,1.28,0.45,0.6,2
1.00,0.5,1,2.01,1,0,0.85,0.48,0.8,0
0.60,0.5,0,0.43,1,2,2.59,0.75,0.5,1
1.00,0.0,1,1.59,1,1,1.28,0.60,0.7,4
0.67,0.0,1,0.67,1,2,2.30,0.83,0.1,2
1.00,0.5,1,2.00,1,1,1.86,0.63,0.6,0
0.60,0.5,0,0.44,1,3,3.64,0.48,0.5,1
0.60,0.5,1,0.44,1,4,4.62,0.65,0.6,1
